timestamp,cpu_usage_system,cpu_usage_total,cpu_usage_user,memory_usage,memory_working_set,rx_bytes,tx_bytes
1650269873,0.05,0.6131050015,0.645,0.0032131075859069824,0.0032117068767547607,0.0,616.5
1650269874,0.05,0.6131050015,0.645,0.0032131075859069824,0.0032117068767547607,0.0,616.5
1650269875,0.05,0.6131050015,0.645,0.003893226385116577,0.003886580467224121,0.0,616.5
1650269876,0.05,0.6131050015,0.645,0.003893226385116577,0.003886580467224121,0.0,616.5
1650269877,0.08,26.2844157675,26.11,0.0033191442489624023,0.0033177435398101807,0.0,0.0
1650269878,0.07,42.569372526,42.43,0.003317207098007202,0.0033158063888549805,84.0,84.0
1650269879,0.1,56.142996755,55.79,0.003302246332168579,0.0033008456230163574,42.0,42.0
1650269880,0.1,56.142996755,55.79,0.003302246332168579,0.0033008456230163574,42.0,42.0
1650269881,0.045,32.299289643,32.19,0.00330159068107605,0.003300189971923828,0.0,0.0
1650269882,0.1,55.94624544,55.85,0.003307729959487915,0.0033063292503356934,0.0,0.0
1650269883,0.1,55.94624544,55.85,0.003307729959487915,0.0033063292503356934,0.0,0.0
1650269884,0.06,35.3419104895,35.15,0.0033071041107177734,0.0033057034015655518,192.5,95.0
1650269885,0.11,61.772107466,61.62,0.0033056437969207764,0.0033042430877685547,0.0,0.0
1650269886,0.11,61.772107466,61.62,0.0033056437969207764,0.0033042430877685547,0.0,0.0
1650269887,0.06,29.8124346445,29.585,0.003302961587905884,0.003301560878753662,0.0,0.0
1650269888,0.09,70.208782605,69.87,0.0033058524131774902,0.0033044517040252686,0.0,0.0
1650269889,0.08,42.290520289,41.8,0.0033068060874938965,0.003305405378341675,0.0,0.0
1650269890,0.08,42.290520289,41.8,0.0033068060874938965,0.003305405378341675,0.0,0.0
1650269891,0.05,30.4453656475,30.12,0.0033115744590759277,0.003310173749923706,0.0,0.0
1650269892,0.05,30.4453656475,30.12,0.0033115744590759277,0.003310173749923706,0.0,0.0
1650269893,0.055,34.236022746,34.055,0.0033079981803894043,0.0033065974712371826,0.0,0.0
1650269894,0.1,70.258914885,70.01,0.0033080875873565674,0.0033066868782043457,385.0,190.0
1650269895,0.1,70.258914885,70.01,0.0033080875873565674,0.0033066868782043457,385.0,190.0
1650269896,0.055,31.613741948,31.485,0.003305792808532715,0.003304392099380493,0.0,0.0
1650269897,0.11,68.226611528,67.9,0.0033058226108551025,0.003304421901702881,0.0,0.0
1650269898,0.05,45.193823611,45.05,0.003306776285171509,0.003305375576019287,0.0,0.0
1650269899,0.05,45.193823611,45.05,0.003306776285171509,0.003305375576019287,0.0,0.0
1650269900,0.055,26.164774322,26.07,0.0033034086227416992,0.0033020079135894775,0.0,0.0
1650269901,0.09,52.58571304,52.17,0.0033043622970581055,0.003302961587905884,0.0,0.0
1650269902,0.09,47.070471421,46.98,0.0033035874366760254,0.0033021867275238037,0.0,0.0
1650269903,0.09,53.095889581,52.85,0.003306567668914795,0.0033051669597625732,385.0,190.0
1650269904,0.09,53.095889581,52.85,0.003306567668914795,0.0033051669597625732,385.0,190.0
1650269905,0.045,23.830668561,23.655,0.003305882215499878,0.0033044815063476562,0.0,0.0
1650269906,0.07,53.023465808,52.8,0.003307849168777466,0.003306448459625244,0.0,0.0
1650269907,0.12,55.004218674,54.81,0.003307849168777466,0.003306448459625244,0.0,0.0
1650269908,0.12,55.004218674,54.81,0.003307849168777466,0.003306448459625244,0.0,0.0
1650269909,0.075,32.853827452,32.69,0.00330546498298645,0.0033040642738342285,0.0,0.0
1650269910,0.09,50.451919505,50.12,0.0033064186573028564,0.0033050179481506348,0.0,0.0
1650269911,0.09,50.451919505,50.12,0.0033064186573028564,0.0033050179481506348,0.0,0.0
1650269912,0.075,35.372562318,35.22,0.003305286169052124,0.0033038854598999023,0.0,0.0
1650269913,0.11,63.708013621,63.5,0.0033071935176849365,0.003305792808532715,385.0,190.0
1650269914,0.08,49.194477644,49.05,0.0033074021339416504,0.0033060014247894287,0.0,0.0
1650269915,0.08,43.11963288,42.8,0.0033074915409088135,0.003306090831756592,0.0,0.0
1650269916,0.08,43.11963288,42.8,0.0033074915409088135,0.003306090831756592,0.0,0.0
1650269917,0.065,35.785246387,35.635,0.0033070743083953857,0.003305673599243164,0.0,0.0
